W,L,Seed,Goodput_Mbps,Retransmissions,Duration_Sec
2,128,0,0.02749903999961251,13268,6000.000000084546
2,128,1,0.027694719999609752,12940,6000.000000084546
2,128,2,0.026925759999620588,14192,6000.000000084546
2,128,3,0.027248159999616047,13650,6000.000000084546
2,128,4,0.027554879999611724,13167,6000.000000084546
2,128,5,0.02713135999961769,13868,6000.000000084546
2,128,6,0.02669215999962388,14587,6000.000000084546
2,128,7,0.027603039999611046,13073,6000.000000084546
2,128,8,0.027218879999616457,13714,6000.000000084546
2,128,9,0.027599519999611095,13069,6000.000000084546
2,256,0,0.05651886933253693,13432,6000.000000084546
2,256,1,0.05706182399919594,12992,6000.000000084546
2,256,2,0.055423039999219034,14285,6000.000000084546
2,256,3,0.056040394665877,13782,6000.000000084546
2,256,4,0.056602527999202415,13354,6000.000000084546
2,256,5,0.05571997866588151,14065,6000.000000084546
2,256,6,0.05483610666589397,14767,6000.000000084546
2,256,7,0.056715615999200816,13252,6000.000000084546
2,256,8,0.05598186666587782,13845,6000.000000084546
2,256,9,0.05682440533253262,13152,6000.000000084546
2,512,0,0.11364998399839855,13742,6000.000000084546
2,512,1,0.11491535999838072,13229,6000.000000084546
2,512,2,0.1114041599984302,14601,6000.000000084546
2,512,3,0.1129369919984086,13985,6000.000000084546
2,512,4,0.11427964799838969,13475,6000.000000084546
2,512,5,0.11207750399842072,14352,6000.000000084546
2,512,6,0.11059103999844166,14931,6000.000000084546
2,512,7,0.11398396799839385,13583,6000.000000084546
2,512,8,0.11263727999841283,14122,6000.000000084546
2,512,9,0.11421647999839057,13479,6000.000000084546
2,1024,0,0.13981108266469658,8859,6000.000000084546
2,1024,1,0.13981108266469658,8583,6000.000000084546
2,1024,2,0.13981108266469658,9305,6000.000000084546
2,1024,3,0.13981108266469658,9156,6000.000000084546
2,1024,4,0.13981108266469658,8349,6000.000000084546
2,1024,5,0.13981108266469658,9229,6000.000000084546
2,1024,6,0.13981108266469658,10014,6000.000000084546
2,1024,7,0.13981108266469658,8457,6000.000000084546
2,1024,8,0.13981108266469658,9170,6000.000000084546
2,1024,9,0.13981108266469658,8919,6000.000000084546
2,2048,0,0.13981071999802994,3987,6000.000000084546
2,2048,1,0.13981071999802994,4028,6000.000000084546
2,2048,2,0.13981071999802994,5457,6000.000000084546
2,2048,3,0.13981071999802994,5435,6000.000000084546
2,2048,4,0.13981071999802994,4268,6000.000000084546
2,2048,5,0.13981071999802994,4995,6000.000000084546
2,2048,6,0.13981071999802994,5349,6000.000000084546
2,2048,7,0.13981071999802994,4876,6000.000000084546
2,2048,8,0.13981071999802994,4854,6000.000000084546
2,2048,9,0.13981071999802994,4970,6000.000000084546
2,4096,0,0.13981505066469654,2385,6000.000000084546
2,4096,1,0.13981505066469654,2669,6000.000000084546
2,4096,2,0.13981505066469654,2853,6000.000000084546
2,4096,3,0.13981505066469654,3333,6000.000000084546
2,4096,4,0.13981505066469654,2554,6000.000000084546
2,4096,5,0.13981505066469654,3360,6000.000000084546
2,4096,6,0.13981505066469654,3228,6000.000000084546
2,4096,7,0.13981505066469654,3180,6000.000000084546
2,4096,8,0.13981505066469654,3047,6000.000000084546
2,4096,9,0.13981505066469654,2572,6000.000000084546
4,128,0,0.05483279999922735,26725,6000.000000084546
4,128,1,0.054503199999232,27314,6000.000000084546
4,128,2,0.054248319999235586,27713,6000.000000084546
4,128,3,0.055041919999224406,26386,6000.000000084546
4,128,4,0.05487679999922673,26680,6000.000000084546
4,128,5,0.05481295999922763,26775,6000.000000084546
4,128,6,0.05350719999924603,28931,6000.000000084546
4,128,7,0.05441327999923326,27472,6000.000000084546
4,128,8,0.05510879999922346,26259,6000.000000084546
4,128,9,0.05495583999922562,26546,6000.000000084546
4,256,0,0.11285025066507649,26929,6000.000000084546
4,256,1,0.11195348266508913,27691,6000.000000084546
4,256,2,0.11149220266509563,28042,6000.000000084546
4,256,3,0.11331814399840323,26562,6000.000000084546
4,256,4,0.11288298666507603,26934,6000.000000084546
4,256,5,0.11276063999841109,27016,6000.000000084546
4,256,6,0.11003759999844946,29199,6000.000000084546
4,256,7,0.11185295999842387,27786,6000.000000084546
4,256,8,0.11319348266507166,26651,6000.000000084546
4,256,9,0.11299442133174113,26836,6000.000000084546
4,512,0,0.13981027199802992,16994,6000.000000084546
4,512,1,0.13981027199802992,16678,6000.000000084546
4,512,2,0.13981027199802992,17341,6000.000000084546
4,512,3,0.13981027199802992,17030,6000.000000084546
4,512,4,0.13981027199802992,16485,6000.000000084546
4,512,5,0.13981027199802992,17547,6000.000000084546
4,512,6,0.13981027199802992,18423,6000.000000084546
4,512,7,0.13981027199802992,16478,6000.000000084546
4,512,8,0.13981027199802992,17469,6000.000000084546
4,512,9,0.13981027199802992,16495,6000.000000084546
4,1024,0,0.13981108266469658,8795,6000.000000084546
4,1024,1,0.13981108266469658,8506,6000.000000084546
4,1024,2,0.13981108266469658,9334,6000.000000084546
4,1024,3,0.13981108266469658,9128,6000.000000084546
4,1024,4,0.13981108266469658,8303,6000.000000084546
4,1024,5,0.13981108266469658,9116,6000.000000084546
4,1024,6,0.13981108266469658,9949,6000.000000084546
4,1024,7,0.13981108266469658,8401,6000.000000084546
4,1024,8,0.13981108266469658,9140,6000.000000084546
4,1024,9,0.13981108266469658,8857,6000.000000084546
4,2048,0,0.13981071999802994,3920,6000.000000084546
4,2048,1,0.13981071999802994,4016,6000.000000084546
4,2048,2,0.13981071999802994,5384,6000.000000084546
4,2048,3,0.13981071999802994,5399,6000.000000084546
4,2048,4,0.13981071999802994,4196,6000.000000084546
4,2048,5,0.13981071999802994,4943,6000.000000084546
4,2048,6,0.13981071999802994,5319,6000.000000084546
4,2048,7,0.13981071999802994,4863,6000.000000084546
4,2048,8,0.13981071999802994,4759,6000.000000084546
4,2048,9,0.13981071999802994,4927,6000.000000084546
4,4096,0,0.13981505066469654,2416,6000.000000084546
4,4096,1,0.13981505066469654,2667,6000.000000084546
4,4096,2,0.13981505066469654,2854,6000.000000084546
4,4096,3,0.13981505066469654,3316,6000.000000084546
4,4096,4,0.13981505066469654,2536,6000.000000084546
4,4096,5,0.13981505066469654,3380,6000.000000084546
4,4096,6,0.13981505066469654,3219,6000.000000084546
4,4096,7,0.13981505066469654,3162,6000.000000084546
4,4096,8,0.13981505066469654,3023,6000.000000084546
4,4096,9,0.13981505066469654,2521,6000.000000084546
8,128,0,0.1097790399984531,53226,6000.000000084546
8,128,1,0.10867695999846863,55076,6000.000000084546
8,128,2,0.109786239998453,53220,6000.000000084546
8,128,3,0.10992719999845102,52988,6000.000000084546
8,128,4,0.10941311999845826,53856,6000.000000084546
8,128,5,0.10933631999845934,53979,6000.000000084546
8,128,6,0.10785679999848019,56433,6000.000000084546
8,128,7,0.10873983999846774,54983,6000.000000084546
8,128,8,0.11040095999844433,52201,6000.000000084546
8,128,9,0.10972655999845383,53332,6000.000000084546
8,256,0,0.13981016533136326,32515,6000.000000084546
8,256,1,0.13981016533136326,34188,6000.000000084546
8,256,2,0.13981016533136326,33878,6000.000000084546
8,256,3,0.13981016533136326,32810,6000.000000084546
8,256,4,0.13981016533136326,32670,6000.000000084546
8,256,5,0.13981016533136326,33512,6000.000000084546
8,256,6,0.13981016533136326,35836,6000.000000084546
8,256,7,0.13981016533136326,34527,6000.000000084546
8,256,8,0.13981016533136326,32531,6000.000000084546
8,256,9,0.13981016533136326,32662,6000.000000084546
8,512,0,0.13981027199802992,16683,6000.000000084546
8,512,1,0.13981027199802992,16442,6000.000000084546
8,512,2,0.13981027199802992,17079,6000.000000084546
8,512,3,0.13981027199802992,16813,6000.000000084546
8,512,4,0.13981027199802992,16183,6000.000000084546
8,512,5,0.13981027199802992,17256,6000.000000084546
8,512,6,0.13981027199802992,18171,6000.000000084546
8,512,7,0.13981027199802992,16214,6000.000000084546
8,512,8,0.13981027199802992,17163,6000.000000084546
8,512,9,0.13981027199802992,16298,6000.000000084546
8,1024,0,0.13981108266469658,8688,6000.000000084546
8,1024,1,0.13981108266469658,8393,6000.000000084546
8,1024,2,0.13981108266469658,9181,6000.000000084546
8,1024,3,0.13981108266469658,8980,6000.000000084546
8,1024,4,0.13981108266469658,8204,6000.000000084546
8,1024,5,0.13981108266469658,9017,6000.000000084546
8,1024,6,0.13981108266469658,9821,6000.000000084546
8,1024,7,0.13981108266469658,8276,6000.000000084546
8,1024,8,0.13981108266469658,8984,6000.000000084546
8,1024,9,0.13981108266469658,8753,6000.000000084546
8,2048,0,0.13981071999802994,3880,6000.000000084546
8,2048,1,0.13981071999802994,3966,6000.000000084546
8,2048,2,0.13981071999802994,5345,6000.000000084546
8,2048,3,0.13981071999802994,5285,6000.000000084546
8,2048,4,0.13981071999802994,4150,6000.000000084546
8,2048,5,0.13981071999802994,4924,6000.000000084546
8,2048,6,0.13981071999802994,5272,6000.000000084546
8,2048,7,0.13981071999802994,4752,6000.000000084546
8,2048,8,0.13981071999802994,4685,6000.000000084546
8,2048,9,0.13981071999802994,4957,6000.000000084546
8,4096,0,0.13981505066469654,2397,6000.000000084546
8,4096,1,0.13981505066469654,2622,6000.000000084546
8,4096,2,0.13981505066469654,2797,6000.000000084546
8,4096,3,0.13981505066469654,3307,6000.000000084546
8,4096,4,0.13981505066469654,2476,6000.000000084546
8,4096,5,0.13981505066469654,3339,6000.000000084546
8,4096,6,0.13981505066469654,3201,6000.000000084546
8,4096,7,0.13981505066469654,3085,6000.000000084546
8,4096,8,0.13981505066469654,3008,6000.000000084546
8,4096,9,0.13981505066469654,2582,6000.000000084546
16,128,0,0.13981023999802994,65523,6000.000000084546
16,128,1,0.13981023999802994,67686,6000.000000084546
16,128,2,0.13981023999802994,66922,6000.000000084546
16,128,3,0.13981023999802994,66208,6000.000000084546
16,128,4,0.13981023999802994,66822,6000.000000084546
16,128,5,0.13981023999802994,66888,6000.000000084546
16,128,6,0.13981023999802994,70214,6000.000000084546
16,128,7,0.13981023999802994,68106,6000.000000084546
16,128,8,0.13981023999802994,63603,6000.000000084546
16,128,9,0.13981023999802994,66866,6000.000000084546
16,256,0,0.13981016533136326,31487,6000.000000084546
16,256,1,0.13981016533136326,33203,6000.000000084546
16,256,2,0.13981016533136326,33111,6000.000000084546
16,256,3,0.13981016533136326,32004,6000.000000084546
16,256,4,0.13981016533136326,31845,6000.000000084546
16,256,5,0.13981016533136326,32656,6000.000000084546
16,256,6,0.13981016533136326,34901,6000.000000084546
16,256,7,0.13981016533136326,33683,6000.000000084546
16,256,8,0.13981016533136326,31515,6000.000000084546
16,256,9,0.13981016533136326,31719,6000.000000084546
16,512,0,0.13981027199802992,16206,6000.000000084546
16,512,1,0.13981027199802992,16003,6000.000000084546
16,512,2,0.13981027199802992,16595,6000.000000084546
16,512,3,0.13981027199802992,16324,6000.000000084546
16,512,4,0.13981027199802992,15750,6000.000000084546
16,512,5,0.13981027199802992,16929,6000.000000084546
16,512,6,0.13981027199802992,17811,6000.000000084546
16,512,7,0.13981027199802992,15783,6000.000000084546
16,512,8,0.13981027199802992,16677,6000.000000084546
16,512,9,0.13981027199802992,15790,6000.000000084546
16,1024,0,0.13981108266469658,8446,6000.000000084546
16,1024,1,0.13981108266469658,8296,6000.000000084546
16,1024,2,0.13981108266469658,8991,6000.000000084546
16,1024,3,0.13981108266469658,8713,6000.000000084546
16,1024,4,0.13981108266469658,7985,6000.000000084546
16,1024,5,0.13981108266469658,8873,6000.000000084546
16,1024,6,0.13981108266469658,9653,6000.000000084546
16,1024,7,0.13981108266469658,8071,6000.000000084546
16,1024,8,0.13981108266469658,8796,6000.000000084546
16,1024,9,0.13981108266469658,8567,6000.000000084546
16,2048,0,0.13981071999802994,3821,6000.000000084546
16,2048,1,0.13981071999802994,3924,6000.000000084546
16,2048,2,0.13981071999802994,5230,6000.000000084546
16,2048,3,0.13981071999802994,5210,6000.000000084546
16,2048,4,0.13981071999802994,4090,6000.000000084546
16,2048,5,0.13981071999802994,4832,6000.000000084546
16,2048,6,0.13981071999802994,5158,6000.000000084546
16,2048,7,0.13981071999802994,4618,6000.000000084546
16,2048,8,0.13981071999802994,4599,6000.000000084546
16,2048,9,0.13981071999802994,4799,6000.000000084546
16,4096,0,0.13981505066469654,2355,6000.000000084546
16,4096,1,0.13981505066469654,2604,6000.000000084546
16,4096,2,0.13981505066469654,2774,6000.000000084546
16,4096,3,0.13981505066469654,3271,6000.000000084546
16,4096,4,0.13981505066469654,2486,6000.000000084546
16,4096,5,0.13981505066469654,3284,6000.000000084546
16,4096,6,0.13981505066469654,3126,6000.000000084546
16,4096,7,0.13981505066469654,3083,6000.000000084546
16,4096,8,0.13981505066469654,2986,6000.000000084546
16,4096,9,0.13981505066469654,2528,6000.000000084546
32,128,0,0.13981023999802994,62740,6000.000000084546
32,128,1,0.13981023999802994,65114,6000.000000084546
32,128,2,0.13981023999802994,64251,6000.000000084546
32,128,3,0.13981023999802994,63497,6000.000000084546
32,128,4,0.13981023999802994,64270,6000.000000084546
32,128,5,0.13981023999802994,64396,6000.000000084546
32,128,6,0.13981023999802994,67395,6000.000000084546
32,128,7,0.13981023999802994,65366,6000.000000084546
32,128,8,0.13981023999802994,60923,6000.000000084546
32,128,9,0.13981023999802994,64343,6000.000000084546
32,256,0,0.13981016533136326,30198,6000.000000084546
32,256,1,0.13981016533136326,31996,6000.000000084546
32,256,2,0.13981016533136326,31842,6000.000000084546
32,256,3,0.13981016533136326,30674,6000.000000084546
32,256,4,0.13981016533136326,30510,6000.000000084546
32,256,5,0.13981016533136326,31333,6000.000000084546
32,256,6,0.13981016533136326,33491,6000.000000084546
32,256,7,0.13981016533136326,32343,6000.000000084546
32,256,8,0.13981016533136326,30314,6000.000000084546
32,256,9,0.13981016533136326,30486,6000.000000084546
32,512,0,0.13981027199802992,15619,6000.000000084546
32,512,1,0.13981027199802992,15327,6000.000000084546
32,512,2,0.13981027199802992,16015,6000.000000084546
32,512,3,0.13981027199802992,15694,6000.000000084546
32,512,4,0.13981027199802992,15226,6000.000000084546
32,512,5,0.13981027199802992,16270,6000.000000084546
32,512,6,0.13981027199802992,17110,6000.000000084546
32,512,7,0.13981027199802992,15245,6000.000000084546
32,512,8,0.13981027199802992,16020,6000.000000084546
32,512,9,0.13981027199802992,15275,6000.000000084546
32,1024,0,0.13981108266469658,8174,6000.000000084546
32,1024,1,0.13981108266469658,8021,6000.000000084546
32,1024,2,0.13981108266469658,8656,6000.000000084546
32,1024,3,0.13981108266469658,8498,6000.000000084546
32,1024,4,0.13981108266469658,7753,6000.000000084546
32,1024,5,0.13981108266469658,8523,6000.000000084546
32,1024,6,0.13981108266469658,9288,6000.000000084546
32,1024,7,0.13981108266469658,7757,6000.000000084546
32,1024,8,0.13981108266469658,8577,6000.000000084546
32,1024,9,0.13981108266469658,8297,6000.000000084546
32,2048,0,0.13981071999802994,3662,6000.000000084546
32,2048,1,0.13981071999802994,3760,6000.000000084546
32,2048,2,0.13981071999802994,5093,6000.000000084546
32,2048,3,0.13981071999802994,5138,6000.000000084546
32,2048,4,0.13981071999802994,3951,6000.000000084546
32,2048,5,0.13981071999802994,4706,6000.000000084546
32,2048,6,0.13981071999802994,5046,6000.000000084546
32,2048,7,0.13981071999802994,4539,6000.000000084546
32,2048,8,0.13981071999802994,4494,6000.000000084546
32,2048,9,0.13981071999802994,4738,6000.000000084546
32,4096,0,0.13981505066469654,2318,6000.000000084546
32,4096,1,0.13981505066469654,2600,6000.000000084546
32,4096,2,0.13981505066469654,2753,6000.000000084546
32,4096,3,0.13981505066469654,3284,6000.000000084546
32,4096,4,0.13981505066469654,2469,6000.000000084546
32,4096,5,0.13981505066469654,3249,6000.000000084546
32,4096,6,0.13981505066469654,3140,6000.000000084546
32,4096,7,0.13981505066469654,3058,6000.000000084546
32,4096,8,0.13981505066469654,2979,6000.000000084546
32,4096,9,0.13981505066469654,2502,6000.000000084546
64,128,0,0.13981023999802994,60237,6000.000000084546
64,128,1,0.13981023999802994,62137,6000.000000084546
64,128,2,0.13981023999802994,61418,6000.000000084546
64,128,3,0.13981023999802994,60577,6000.000000084546
64,128,4,0.13981023999802994,61430,6000.000000084546
64,128,5,0.13981023999802994,61315,6000.000000084546
64,128,6,0.13981023999802994,64281,6000.000000084546
64,128,7,0.13981023999802994,62354,6000.000000084546
64,128,8,0.13981023999802994,58352,6000.000000084546
64,128,9,0.13981023999802994,61725,6000.000000084546
64,256,0,0.13981016533136326,28962,6000.000000084546
64,256,1,0.13981016533136326,30647,6000.000000084546
64,256,2,0.13981016533136326,30399,6000.000000084546
64,256,3,0.13981016533136326,29517,6000.000000084546
64,256,4,0.13981016533136326,29425,6000.000000084546
64,256,5,0.13981016533136326,29892,6000.000000084546
64,256,6,0.13981016533136326,32197,6000.000000084546
64,256,7,0.13981016533136326,31066,6000.000000084546
64,256,8,0.13981016533136326,28842,6000.000000084546
64,256,9,0.13981016533136326,29346,6000.000000084546
64,512,0,0.13981027199802992,14985,6000.000000084546
64,512,1,0.13981027199802992,14831,6000.000000084546
64,512,2,0.13981027199802992,15247,6000.000000084546
64,512,3,0.13981027199802992,14951,6000.000000084546
64,512,4,0.13981027199802992,14662,6000.000000084546
64,512,5,0.13981027199802992,15699,6000.000000084546
64,512,6,0.13981027199802992,16423,6000.000000084546
64,512,7,0.13981027199802992,14481,6000.000000084546
64,512,8,0.13981027199802992,15404,6000.000000084546
64,512,9,0.13981027199802992,14677,6000.000000084546
64,1024,0,0.13981108266469658,7855,6000.000000084546
64,1024,1,0.13981108266469658,7745,6000.000000084546
64,1024,2,0.13981108266469658,8314,6000.000000084546
64,1024,3,0.13981108266469658,8158,6000.000000084546
64,1024,4,0.13981108266469658,7493,6000.000000084546
64,1024,5,0.13981108266469658,8209,6000.000000084546
64,1024,6,0.13981108266469658,8961,6000.000000084546
64,1024,7,0.13981108266469658,7441,6000.000000084546
64,1024,8,0.13981108266469658,8188,6000.000000084546
64,1024,9,0.13981108266469658,7951,6000.000000084546
64,2048,0,0.13981071999802994,3704,6000.000000084546
64,2048,1,0.13981071999802994,3772,6000.000000084546
64,2048,2,0.13981071999802994,5018,6000.000000084546
64,2048,3,0.13981071999802994,5115,6000.000000084546
64,2048,4,0.13981071999802994,3930,6000.000000084546
64,2048,5,0.13981071999802994,4673,6000.000000084546
64,2048,6,0.13981071999802994,4974,6000.000000084546
64,2048,7,0.13981071999802994,4540,6000.000000084546
64,2048,8,0.13981071999802994,4453,6000.000000084546
64,2048,9,0.13981071999802994,4643,6000.000000084546
64,4096,0,0.13981505066469654,6531,6000.000000084546
64,4096,1,0.13981505066469654,6925,6000.000000084546
64,4096,2,0.13981505066469654,7175,6000.000000084546
64,4096,3,0.13981505066469654,6632,6000.000000084546
64,4096,4,0.13981505066469654,6617,6000.000000084546
64,4096,5,0.13981505066469654,6803,6000.000000084546
64,4096,6,0.13981505066469654,6823,6000.000000084546
64,4096,7,0.13981505066469654,6657,6000.000000084546
64,4096,8,0.13981505066469654,6753,6000.000000084546
64,4096,9,0.13981505066469654,6911,6000.000000084546
